,TABLETYPE,ICD10-CM,ICD9-CM
882,A,C254,1574
883,A,C257,1578
884,A,C258,1578
885,A,C259,1579
886,A,C260,1590
887,A,C261,1591
888,A,C268,1598
889,A,C269,1599
890,A,C300,1600
891,A,C301,1601
892,A,C310,1602
893,A,C311,1603
894,A,C312,1604
895,A,C313,1605
896,A,C318,1608
897,A,C319,1609
898,A,C320,1610
899,A,C321,1611
900,A,C322,1612
901,A,C323,1613
902,A,C328,1618
903,A,C329,1619
904,A,C33,1620
905,A,C340,1622
906,A,C341,1623
907,A,C342,1624
908,A,C343,1625
909,A,C348,1628
910,A,C349,1629
911,A,C37,1640
912,A,C380,1641
913,A,C381,1642
914,A,C382,1643
915,A,C383,1649
916,A,C384,1639
917,A,C388,1648
918,A,C390,1650
919,A,C398,1658
920,A,C399,1659
921,A,C400,1704
922,A,C401,1705
923,A,C402,1707
924,A,C403,1708
925,A,C408,1709
926,A,C409,1709
927,A,C4101,17001
928,A,C4102,17002
929,A,C411,1701
930,A,C412,1702
931,A,C413,1703
932,A,C414,1706
933,A,C418,1709
934,A,C419,1709
935,A,C430,1720
936,A,C431,1721
937,A,C432,1722
938,A,C433,1723
939,A,C434,1724
940,A,C435,1725
941,A,C436,1726
942,A,C437,1727
943,A,C438,1728
944,A,C439,1729
945,A,C440,1730
946,A,C441,1731
947,A,C442,1732
948,A,C443,1733
949,A,C444,1734
950,A,C445,1735
951,A,C446,1736
952,A,C447,1737
953,A,C448,1738
954,A,C449,1739
955,A,C450,1639
956,A,C451,1589
957,A,C452,1641
958,A,C457,1718
959,A,C459,1719
960,A,C460,1760
961,A,C461,1761
962,A,C462,1762
963,A,C463,1765
964,A,C467,1768
965,A,C468,1768
966,A,C469,1769
967,A,C470,1710
968,A,C471,1712
969,A,C472,1713
970,A,C473,1714
971,A,C474,1715
972,A,C475,1716
973,A,C476,1717
974,A,C478,1718
975,A,C479,1719
976,A,C480,1580
977,A,C481,1588
978,A,C482,1589
979,A,C488,1588
980,A,C490,1710
981,A,C491,1712
982,A,C492,1713
983,A,C493,1714
984,A,C494,1715
985,A,C495,1716
986,A,C496,1717
987,A,C498,1718
988,A,C499,1719
989,A,C500,1740
990,A,C501,1741
991,A,C502,1742
992,A,C503,1743
993,A,C504,1744
994,A,C505,1745
995,A,C506,1746
996,A,C508,1748
997,A,C509,1749
998,A,C510,1841
999,A,C511,1842
1000,A,C512,1843
1001,A,C518,1848
1002,A,C519,1844
1003,A,C52,1840
1004,A,C530,1800
1005,A,C531,1801
1006,A,C538,1808
1007,A,C539,1809
1008,A,C540,1821
1009,A,C541,1820
1010,A,C542,1820
1011,A,C543,1820
1012,A,C548,1828
1013,A,C549,1820
1014,A,C55,179
1015,A,C56,1830
1016,A,C570,1832
1017,A,C571,1833
1018,A,C572,1835
1019,A,C573,1834
1020,A,C574,1839
1021,A,C577,1848
1022,A,C578,1848
1023,A,C579,1849
1024,A,C58,181
1025,A,C600,1871
1026,A,C601,1872
1027,A,C602,1873
1028,A,C608,1878
1029,A,C609,1874
1030,A,C61,185
1031,A,C620,1860
1032,A,C621,1869
1033,A,C629,1869
1034,A,C630,1875
1035,A,C631,1876
1036,A,C632,1877
1037,A,C637,1878
1038,A,C638,1878
1039,A,C639,1879
1040,A,C64,1890
1041,A,C65,1891
1042,A,C66,1892
1043,A,C670,1880
1044,A,C671,1881
1045,A,C672,1882
1046,A,C673,1883
1047,A,C674,1884
1048,A,C675,1885
1049,A,C676,1886
1050,A,C677,1887
1051,A,C678,1888
1052,A,C679,1889
1053,A,C680,1893
1054,A,C681,1894
1055,A,C688,1898
1056,A,C689,1899
1057,A,C690,1903
1058,A,C691,1904
1059,A,C692,1905
1060,A,C693,1906
1061,A,C694,1900
1062,A,C695,1902
1063,A,C696,1901
1064,A,C698,1908
1065,A,C699,1909
1066,A,C700,1921
1067,A,C701,1923
1068,A,C709,1921
1069,A,C710,1910
1070,A,C711,1911
1071,A,C712,1912
1072,A,C713,1913
1073,A,C714,1914
1074,A,C715,1915
1075,A,C716,1916
1076,A,C717,1917
1077,A,C718,1918
1078,A,C719,1919
1079,A,C720,1922
1080,A,C721,1922
1081,A,C722,1920
1082,A,C723,1920
1083,A,C724,1920
1084,A,C725,1920
1085,A,C728,1928
1086,A,C729,1929
1087,A,C73,193
1088,A,C740,1940
1089,A,C741,1940
1090,A,C749,1940
1091,A,C750,1941
1092,A,C751,1943
1093,A,C752,1943
1094,A,C753,1944
1095,A,C754,1945
1096,A,C755,1946
1097,A,C758,1948
1098,A,C759,1949
1099,A,C760,1950
1100,A,C761,1951
1101,A,C762,1952
1102,A,C763,1953
1103,A,C764,1954
1104,A,C765,1955
1105,A,C767,1958
1106,A,C768,1958
1107,A,C770,1960
1108,A,C771,1961
1109,A,C772,1962
1110,A,C773,1963
1111,A,C774,1965
1112,A,C775,1966
1113,A,C778,1968
1114,A,C779,1969
1115,A,C780,1970
1116,A,C781,1971
1117,A,C782,1972
1118,A,C783,1973
1119,A,C784,1974
1120,A,C785,1975
1121,A,C786,1976
1122,A,C787,1977
1123,A,C788,1978
1124,A,C790,1980
1125,A,C791,1981
1126,A,C792,1982
1127,A,C793,1983
1128,A,C794,1984
1129,A,C795,1985
1130,A,C796,1986
1131,A,C797,1987
1132,A,C7981,19881
1133,A,C7982,19882
1134,A,C7988,19889
1135,A,C80,1991
1136,A,C810,20140
1137,A,C811,20150
1138,A,C812,20160
1139,A,C813,20170
1140,A,C817,20100
1141,A,C819,20190
1142,A,C820,20200
1143,A,C821,20200
1144,A,C822,20000
1145,A,C827,20200
1146,A,C829,20200
1147,A,C830,20010
1148,A,C831,20010
1149,A,C832,20080
1150,A,C833,20000
1151,A,C834,20080
1152,A,C835,20280
1153,A,C836,20020
1154,A,C837,20020
1155,A,C838,20280
1156,A,C839,20280
1157,A,C840,20210
1158,A,C841,20220
1159,A,C842,20080
1160,A,C843,20080
1161,A,C844,20280
1162,A,C845,20280
1163,A,C850,20010
1164,A,C851,20280
1165,A,C857,20230
1166,A,C859,20280
1167,A,C8800,2733
1168,A,C8801,2733
1169,A,C8810,2732
1170,A,C8811,2732
1171,A,C8820,2732
1172,A,C8821,2732
1173,A,C8830,20380
1174,A,C8831,20381
1175,A,C8870,20380
1176,A,C8871,20381
1177,A,C8890,20380
1178,A,C8891,20381
1179,A,C9000,20300
1180,A,C9001,20301
1181,A,C9010,20310
1182,A,C9011,20311
1183,A,C9020,2386
1184,A,C9021,2386
1185,A,C9100,20400
1186,A,C9101,20401
1187,A,C9110,20410
1188,A,C9111,20411
1189,A,C9120,20420
1190,A,C9121,20421
1191,A,C9130,20490
1192,A,C9131,20491
1193,A,C9140,20240
1194,A,C9141,20241
1195,A,C9150,20890
1196,A,C9151,20891
1197,A,C9170,20480
1198,A,C9171,20481
1199,A,C9190,20490
1200,A,C9191,20491
1201,A,C9200,20500
1202,A,C9201,20501
1203,A,C9210,20510
1204,A,C9211,20511
1205,A,C9220,20520
1206,A,C9221,20521
1207,A,C9230,20530
1208,A,C9231,20531
1209,A,C9240,20500
1210,A,C9241,20501
1211,A,C9250,20500
1212,A,C9251,20501
1213,A,C9270,20580
1214,A,C9271,20581
1215,A,C9290,20590
1216,A,C9291,20591
1217,A,C9300,20600
1218,A,C9301,20601
1219,A,C9310,20610
1220,A,C9311,20611
1221,A,C9320,20620
1222,A,C9321,20621
1223,A,C9370,20680
1224,A,C9371,20681
1225,A,C9390,20690
1226,A,C9391,20691
1227,A,C9400,20700
1228,A,C9401,20701
1229,A,C9410,20710
1230,A,C9411,20711
1231,A,C9420,20720
1232,A,C9421,20721
1233,A,C9430,20780
1234,A,C9431,20781
1235,A,C9440,2387
1236,A,C9441,2387
1237,A,C9450,2898
1238,A,C9451,20721
1239,A,C9470,20780
1240,A,C9471,20781
1241,A,C9500,20800
1242,A,C9501,20801
1243,A,C9510,20810
1244,A,C9511,20811
1245,A,C9520,20820
1246,A,C9521,20821
1247,A,C9570,20880
1248,A,C9571,20881
1249,A,C9590,20890
1250,A,C9591,20891
1251,A,C960,20250
1252,A,C961,20230
1253,A,C962,20260
1254,A,C963,20000
1255,A,C967,20290
1256,A,C969,20290
1257,A,C97,1990
1258,A,D000,2300
1259,A,D001,2301
1260,A,D002,2302
1261,A,D010,2303
1262,A,D011,2304
1263,A,D012,2304
1264,A,D013,2305
1265,A,D014,2307
1266,A,D015,2308
1267,A,D017,2309
1268,A,D019,2309
1269,A,D020,2310
1270,A,D021,2311
1271,A,D022,2312
1272,A,D023,2318
1273,A,D024,2319
1274,A,D030,2320
1275,A,D031,2321
1276,A,D032,2322
1277,A,D033,2323
1278,A,D034,2324
1279,A,D035,2325
1280,A,D036,2326
1281,A,D037,2327
1282,A,D038,2328
1283,A,D039,2329
1284,A,D040,2320
1285,A,D041,2321
1286,A,D042,2322
1287,A,D043,2323
1288,A,D044,2324
1289,A,D045,2325
1290,A,D046,2326
1291,A,D047,2327
1292,A,D048,2328
1293,A,D049,2329
1294,A,D050,2330
1295,A,D051,2330
1296,A,D057,2330
1297,A,D059,2330
1298,A,D060,2331
1299,A,D061,2331
1300,A,D067,2331
1301,A,D069,2331
1302,A,D070,2332
1303,A,D071,2333
1304,A,D072,2333
1305,A,D073,2333
1306,A,D074,2335
1307,A,D075,2334
1308,A,D076,2336
1309,A,D090,2337
1310,A,D091,2339
1311,A,D092,2340
1312,A,D093,2348
1313,A,D097,2348
1314,A,D099,2349
1315,A,D100,2100
1316,A,D101,2101
1317,A,D102,2103
1318,A,D103,2104
1319,A,D104,2105
1320,A,D105,2106
1321,A,D106,2107
1322,A,D107,2108
1323,A,D109,2109
1324,A,D110,2102
1325,A,D117,2102
1326,A,D119,2102
1327,A,D120,2113
1328,A,D121,2113
1329,A,D122,2113
1330,A,D123,2113
1331,A,D124,2113
1332,A,D125,2113
1333,A,D126,2113
1334,A,D127,2114
1335,A,D128,2114
1336,A,D129,2114
1337,A,D130,2110
1338,A,D131,2111
1339,A,D132,2112
1340,A,D133,2112
1341,A,D134,2115
1342,A,D135,2115
1343,A,D136,2116
1344,A,D137,2117
1345,A,D139,2119
1346,A,D140,2120
1347,A,D141,2121
1348,A,D142,2122
1349,A,D143,2123
